Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
100032000,450000,228.89,1966,Conventional,3111,2,4,2,0,2,N,0,R2,Y,CV,H,M,10,W,1900,42.37963,-71.03076
100058000,600000,164.34,3840,Semi?Det,5603,3,8,3,0,3,N,0,R3,N,SD,F,B,17,W,1910,42.378766,-71.029428
100073000,450000,105.98,4246,Decker,6010,3,9,3,0,3,N,0,R3,Y,DK,F,M,20,W,1910,42.379395,-71.02846
100112000,670000,291.94,2295,Row End,3482,3,6,3,0,3,N,0,R3,N,RE,F,M,14,W,1905,42.380145,-71.02859
100137000,260000,217.21,1197,Colonial,1785,2,2,1,1,1,N,0,R1,N,CL,F,P,5,E,1860,42.37967,-71.02903
100138000,355000,190.96,1859,Conventional,2198,1.5,3,3,0,2,N,0,R2,N,CV,G,M,8,E,1905,42.379534,-71.028949
100174000,665000,227.35,2925,Decker,4341,3,8,3,0,3,N,0,R3,N,DK,F,M,14,W,1900,42.38097,-71.02836
100181000,355000,120.54,2904,Decker,3892,3,6,3,0,3,N,0,E,N,DK,F,A,14,W,1890,42.38051,-71.02837
100189000,363000,306.59,892,Row End,1658,2,2,1,0,1,N,0,R1,N,RE,G,A,4,W,1900,42.38034,-71.0291
100194000,370000,193.11,1916,Two Fam Stack,3318,2,2,2,0,2,N,0,R2,Y,TF,F,M,9,W,1900,42.380141,-71.029458
100195010,321000,197.78,1623,Conventional,2386,1.5,4,2,0,2,N,0,R2,N,CV,G,W,7,W,1900,42.38012,-71.02953
100227000,387500,222.32,1182,Row Middle,1773,2,3,3,0,3,N,0,R3,N,SD,F,W,7,W,1900,42.38122,-71.02902
100231000,300000,227.27,1244,Row Middle,1866,2,3,1,0,1,N,0,R1,Y,RM,F,M,5,W,1911,42.38117,-71.02873
100236000,240000,202.02,1168,Row End,1752,2,3,1,1,1,N,0,R1,Y,RE,F,M,5,W,1900,42.38101,-71.02903
100257000,490000,168.73,2640,Decker,3520,3,6,3,0,3,N,0,R3,N,DK,F,P,15,W,1890,42.3812,-71.02769
