SeniorCitizen,WeekendBouncer,avgBounceTime,bounceInStreet,PaperlessBilling,monthlyDistanceBounced,totalDistanceBounced,Churn,phoneType,avgBounceDistance,avgBounceHeight
No,No,1,No,Yes,29.85,29.85,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,34,Yes,No,56.95,1889.5,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,2,Yes,Yes,53.85,108.15,Churn,Unknown,<1 ft.,<1 ft.
No,No,45,No,No,42.3,1840.75,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,2,Yes,Yes,70.7,151.65,Churn,Android,<1 ft.,<1 ft.
No,No,8,Yes,Yes,99.65,820.5,Churn,Android,<1 ft.,<1 ft.
No,Yes,22,Yes,Yes,89.1,1949.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,10,No,No,29.75,301.9,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,28,Yes,Yes,104.8,3046.05,Churn,Android,1-4 ft.,<1 ft.
No,Yes,62,Yes,No,56.15,3487.95,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,13,Yes,Yes,49.95,587.45,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,16,Yes,No,18.95,326.8,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,58,Yes,No,100.35,5681.1,No_Churn,Android,<1 ft.,1-2 ft.
No,No,49,Yes,Yes,103.7,5036.3,Churn,Android,<1 ft.,<1 ft.
No,No,25,Yes,Yes,105.5,2686.05,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,69,Yes,No,113.25,7895.15,No_Churn,Android,1-4 ft.,2+ ft.
No,No,52,Yes,No,20.65,1022.95,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,71,Yes,No,106.7,7382.25,No_Churn,Android,<1 ft.,2+ ft.
No,Yes,10,Yes,No,55.2,528.35,Churn,Unknown,1-4 ft.,<1 ft.
No,No,21,Yes,Yes,90.05,1862.9,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,1,No,Yes,39.65,39.65,Churn,Unknown,<1 ft.,<1 ft.
No,No,12,Yes,No,19.8,202.25,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,1,Yes,No,20.15,20.15,Churn,IPhone,4+ ft.,<1 ft.
No,No,58,Yes,Yes,59.9,3505.1,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,49,Yes,No,59.6,2970.3,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,30,Yes,Yes,55.3,1530.6,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,47,Yes,Yes,99.35,4749.15,Churn,Android,<1 ft.,<1 ft.
No,Yes,1,No,No,30.2,30.2,Churn,Unknown,<1 ft.,<1 ft.
No,No,72,Yes,Yes,90.25,6369.45,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,17,Yes,Yes,64.7,1093.1,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,71,Yes,Yes,96.35,6766.95,No_Churn,Android,1-4 ft.,2+ ft.
Yes,No,2,Yes,Yes,95.5,181.65,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,27,Yes,No,66.15,1874.45,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,1,Yes,No,20.2,20.2,No_Churn,IPhone,4+ ft.,<1 ft.
Yes,No,1,Yes,No,45.25,45.25,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,Yes,No,99.9,7251.7,No_Churn,Android,1-4 ft.,2+ ft.
No,No,5,Yes,Yes,69.7,316.9,Churn,Android,<1 ft.,<1 ft.
No,No,46,Yes,Yes,74.8,3548.3,No_Churn,Android,<1 ft.,<1 ft.
No,No,34,Yes,Yes,106.35,3549.25,Churn,Android,<1 ft.,<1 ft.
No,No,11,Yes,Yes,97.85,1105.4,Churn,Android,<1 ft.,<1 ft.
No,Yes,10,Yes,No,49.55,475.7,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,70,Yes,Yes,69.2,4872.35,No_Churn,Unknown,<1 ft.,2+ ft.
No,Yes,17,Yes,No,20.75,418.25,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,63,Yes,Yes,79.85,4861.45,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,13,Yes,Yes,76.2,981.45,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,49,Yes,Yes,84.5,3906.7,No_Churn,Android,<1 ft.,<1 ft.
No,No,2,Yes,No,49.25,97,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,2,Yes,Yes,80.65,144.15,Churn,Android,<1 ft.,<1 ft.
No,No,52,Yes,Yes,79.75,4217.8,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,69,Yes,Yes,64.15,4254.1,No_Churn,Unknown,1-4 ft.,2+ ft.
Yes,No,43,Yes,Yes,90.25,3838.75,No_Churn,Android,<1 ft.,<1 ft.
No,No,15,Yes,Yes,99.1,1426.4,Churn,Android,<1 ft.,<1 ft.
Yes,No,25,Yes,Yes,69.5,1752.65,No_Churn,Unknown,1-4 ft.,<1 ft.
Yes,No,8,Yes,Yes,80.65,633.3,Churn,Android,<1 ft.,<1 ft.
Yes,Yes,60,Yes,Yes,74.85,4456.35,No_Churn,Unknown,1-4 ft.,1-2 ft.
Yes,No,18,Yes,Yes,95.45,1752.55,Churn,Android,<1 ft.,<1 ft.
No,Yes,63,Yes,Yes,99.65,6311.2,No_Churn,Android,<1 ft.,1-2 ft.
Yes,Yes,66,Yes,Yes,108.45,7076.35,No_Churn,Android,1-4 ft.,1-2 ft.
No,Yes,34,Yes,No,24.95,894.3,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,72,Yes,Yes,107.5,7853.7,No_Churn,Android,1-4 ft.,2+ ft.
No,No,47,Yes,Yes,100.5,4707.1,No_Churn,Android,<1 ft.,<1 ft.
No,No,60,Yes,Yes,89.9,5450.7,No_Churn,Android,<1 ft.,<1 ft.
No,No,72,No,No,42.1,2962,No_Churn,Unknown,<1 ft.,2+ ft.
No,Yes,18,Yes,Yes,54.4,957.1,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,9,Yes,No,94.4,857.25,Churn,Android,<1 ft.,<1 ft.
No,No,3,Yes,Yes,75.3,244.1,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,47,Yes,Yes,78.9,3650.35,No_Churn,Android,<1 ft.,1-2 ft.
No,No,31,Yes,No,79.2,2497.2,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,50,Yes,No,20.15,930.9,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,10,Yes,Yes,79.85,887.35,No_Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,No,49.05,49.05,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,52,Yes,Yes,20.4,1090.65,No_Churn,IPhone,4+ ft.,1-2 ft.
Yes,Yes,64,Yes,Yes,111.6,7099,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,62,Yes,Yes,24.25,1424.6,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,3,Yes,Yes,64.5,177.4,No_Churn,Unknown,1-4 ft.,<1 ft.
Yes,No,56,Yes,No,110.5,6139.5,No_Churn,Android,<1 ft.,1-2 ft.
No,No,46,Yes,No,55.65,2688.85,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,8,Yes,No,54.65,482.25,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,30,Yes,Yes,74.75,2111.3,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,45,Yes,Yes,25.9,1216.6,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,1,Yes,Yes,79.35,79.35,Churn,Android,<1 ft.,<1 ft.
No,Yes,11,No,No,50.55,565.35,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,7,Yes,Yes,75.15,496.9,Churn,Android,<1 ft.,<1 ft.
