"","age","job","marital","education","taxLien","mortgage","taxbill_in_phl","contact","month","day_of_week","campaign","pdays","previous","poutcome","unemploy_rate","cons.price.idx","cons.conf.idx","inflation_rate","spent_on_repairs","y","y_numeric"
"1",30,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"2",39,"services","single","high.school","no","no","yes","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"3",25,"services","married","high.school","no","yes","yes","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no",0
"4",38,"services","married","basic.9y","no","unknown","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",0
"5",47,"admin.","married","university.degree","no","yes","yes","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",0
"6",32,"services","single","university.degree","no","no","yes","cellular","sep","thu",3,999,2,"failure",-1.1,94.199,-37.5,0.884,4963.6,"no",0
"7",32,"admin.","single","university.degree","no","yes","yes","cellular","sep","mon",4,999,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"no",0
"8",41,"entrepreneur","married","university.degree","unknown","yes","yes","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",0
"9",31,"services","divorced","professional.course","no","no","yes","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no",0
"10",35,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"11",25,"services","single","basic.6y","unknown","yes","yes","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",0
"12",36,"self-employed","single","basic.4y","no","no","yes","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no",0
"13",36,"admin.","married","high.school","no","no","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",0
"14",47,"blue-collar","married","basic.4y","no","yes","yes","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no",0
"15",29,"admin.","single","high.school","no","no","yes","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"16",27,"services","single","university.degree","no","no","yes","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",0
"17",44,"admin.","divorced","university.degree","no","no","yes","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",0
"18",46,"admin.","divorced","university.degree","no","yes","yes","telephone","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"19",45,"entrepreneur","married","university.degree","unknown","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"20",50,"blue-collar","married","basic.4y","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",1
"21",55,"services","married","basic.6y","unknown","yes","yes","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"22",39,"technician","divorced","high.school","no","no","yes","cellular","mar","mon",1,12,2,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes",1
"23",29,"technician","single","university.degree","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no",0
"24",40,"management","married","high.school","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"25",44,"technician","married","professional.course","unknown","yes","yes","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",0
